Gene,Proteosome,Pathways,Pathway_Count,12,24,48,72,96
Gnb2,,Wnt,1,-0.1914389928181954,-0.1064689954121895,0.2314097086588553,0.5189992586771659,1.0031941731770857
Gng10,,Wnt,1,0.0528569221496582,2.3580870628356934,2.420252799987793,3.926124095916748,3.660742123921711
Gng5,,Wnt,1,0.1267616748809814,1.9185528755187988,1.3113415241241455,1.6833438873291016,2.773836135864258
Gss,,Glutathione,1,-1.9597899119059257,-0.5249158541361503,-1.2533246676127128,-1.7710496584574391,-1.888980865478516
Gstm1,,Glutathione,1,-1.3155479431152344,-0.600189208984375,-0.9978256225585938,-1.9497547149658203,-2.3803634643554688
Gstm2,,Glutathione,1,-1.3818693161010742,-0.4374585151672363,-0.8745341300964355,-1.5802407264709473,-1.940900802612305
Gstm5,,Glutathione,1,-1.2644542058308907,-0.6811908086140939,-0.718237241109211,-1.7735274632771798,-2.030725479125977
Gsto1,,Glutathione,1,-0.3168827692667655,-0.1068827311197928,-0.2190701166788748,-1.4840470949808768,-2.093368530273437
Gstp1,,Glutathione,1,-0.616020679473877,-0.3599367141723633,-0.7144384384155273,-1.0896005630493164,-1.4310239156087228
Hsp90aa1,,Hsf1,1,-0.0116655031840018,0.3768146832784005,0.8098858197530099,0.1192782719930001,0.7645174662272112
Hsp90ab1,,Hsf1,1,-0.32937987645467,0.2838036219278983,0.4858519236246756,-0.1204546292622872,0.348112742106121
Hspa1b,,Hsf1,1,-0.2691458066304513,-0.4405663808186837,-0.6366060574849435,-1.6613767941792794,-2.13042894999186
Hspa2,,Hsf1,1,-0.8302768071492501,-0.5953691800435372,-1.457745869954426,-2.251892884572346,-2.266273498535156
Hspb1,,Hsf1,1,-0.0851950645446777,-0.1303248405456543,-0.4418206214904785,-0.9504437446594238,-2.282522201538086
Hspb8,,Hsf1,1,-0.6916968027750663,-0.2657944361368827,-0.6901904741923026,-1.5548192660013846,-3.286379814147949
Hsph1,,Hsf1,1,-0.540357033411663,0.6954801877339669,1.1947725613911937,0.4926246007283517,1.218723932902016
Itpr3,,"DAG, Wnt",2,1.610971450805664,1.017956256866455,0.922926425933838,-0.1213529109954834,0.1736456553141288
Kpna2,,DAG,1,1.4351496696472168,1.7122373580932615,2.945474147796631,3.968981266021729,4.285889307657879
Mrpl18,,Hsf1,1,0.5476586023966483,-0.2716995080312081,1.2204782168070487,1.5674482981363944,1.748659451802574
Nbea,,DAG,1,-0.7711831728617362,-0.235517183939617,1.49236234029134,1.2674578030904122,-1.168934504191082
Oplah,,Glutathione,1,-0.6810251871744804,-0.8834125200907401,-0.498228708902996,-2.387439886728924,-2.010059356689453
P4hb,,Shh,1,0.3313662211100272,-0.1023820241292305,0.3500863711039237,0.4535309473673514,0.3972307840983085
Pgm1,,Shh,1,-1.1520141760508231,0.1753767331441231,-0.5228406588236503,-1.7869688669840509,-2.2123276392618827
Ppm1a,,mTOR,1,-1.956821362177532,-0.9627443949381522,-1.0873061815897636,-1.3075086275736505,-1.177022616068523
Ppp2ca,,Wnt,1,-0.5295448303222656,0.2437787055969238,0.404423713684082,0.0204262733459472,0.1920808156331368
Ppp2r1a,,Wnt,1,-0.1970807711283377,0.2915953000386544,0.1619857152303048,-0.3730999628702811,0.3269220987955705
Ppp3ca,,Wnt,1,-0.953547477722168,-0.2582459449768066,-0.4382405281066894,-1.169036865234375,-1.289539972941082
Prkacb,,"DAG, Shh",2,-1.783588171005249,-1.8165738582611084,-1.7760868072509766,-3.2965996265411377,-1.5369275410970058
